programme_id,university_name,programme_title,programme_website_url,status
w64082,bayreuth,scientific computing,https://www.uni-bayreuth.de/en/master/scientific-computing,found
w29632,rwth aachen,simulation,,not_found
w64745,ansbach,smart energy systems,https://www.hs-ansbach.de/master/smart-energy-systems/,found
w42184,konstanz,social economic data science,,not_found
w42527,rhinelandpalatinate kaiserslauternlandau,social informatics,,not_found
w74173,ingolstadt,sociotechnical cybersecurity,,not_found
w15232,heilbronn,software engineering,,not_found
w71290,hildesheim,software engineering international s degree,,not_found
w7790,hof,software engineering industrial applications,,not_found
w5622,rwth aachen,software systems engineering,,not_found
w5965,stuttgart,software,,not_found
w64848,dresden,transportation economics,,not_found
w31435,rhinewaal,usability engineering,,not_found
w64245,ingolstadt,user experience design,,not_found
w16715,saarland,visual computing,,not_found
w65043,magdeburg,visual computing,"https://www.ovgu.de/Visual_Computing_master-path-37420,39794,21190.html",found
w39452,koblenz,web data science,https://www.uni-koblenz.de/de/studium/studienangebot/web-and-data-science-master-of-science,found
w49156,chemnitz,web engineering,,not_found
